time,close
5/26/2014,14.73
5/27/2014,14.26
5/28/2014,15.2
5/29/2014,14.92
5/30/2014,15.14
6/3/2014,14.94
6/4/2014,15.16
6/5/2014,15.16
6/6/2014,14.78
6/9/2014,14.74
6/10/2014,15.08
6/11/2014,15.09
6/12/2014,15.59
6/13/2014,15.53
6/16/2014,15.95
6/17/2014,15.57
6/18/2014,15.27
6/19/2014,14.19
6/20/2014,14.18
6/23/2014,14.32
6/24/2014,14.65
6/25/2014,14.71
6/26/2014,14.87
6/27/2014,14.95
6/30/2014,14.9
7/1/2014,14.8
7/2/2014,14.92
7/3/2014,15.24
7/4/2014,15.1
7/7/2014,15.3
7/8/2014,15.18
7/9/2014,14.59
7/10/2014,14.16
7/11/2014,14.21
7/14/2014,14.16
7/15/2014,13.81
7/16/2014,13.89
7/17/2014,13.89
7/18/2014,13.9
7/21/2014,13.83
7/22/2014,13.99
7/23/2014,13.76
7/24/2014,13.56
7/25/2014,13.63
7/28/2014,13.9
7/29/2014,14.06
7/30/2014,14.1
7/31/2014,14.33
8/1/2014,14.09
8/4/2014,14.17
8/5/2014,14.51
8/6/2014,14.85
8/7/2014,14.58
8/8/2014,14.55
8/11/2014,14.64
8/12/2014,14.77
8/13/2014,14.49
8/14/2014,14.33
8/15/2014,14.69
8/18/2014,15.23
8/19/2014,15.26
8/20/2014,15.28
8/21/2014,15.86
8/22/2014,16.74
8/25/2014,16.07
8/26/2014,15.94
8/27/2014,16.4
8/28/2014,16.17
8/29/2014,16.26
9/1/2014,16.29
9/2/2014,16.44
9/3/2014,16.65
9/4/2014,16.68
9/5/2014,16.37
9/9/2014,16.19
9/10/2014,17.81
9/11/2014,17.6
9/12/2014,18.18
9/15/2014,18.37
9/16/2014,17.19
9/17/2014,18.66
9/18/2014,18.64
9/19/2014,18.83
9/22/2014,19.21
9/23/2014,19.1
9/24/2014,18.8
9/25/2014,18.46
9/26/2014,18.3
9/29/2014,18.54
9/30/2014,18.34
10/8/2014,18.39
10/9/2014,18.74
10/10/2014,18.44
10/13/2014,17.88
10/14/2014,17.47
10/15/2014,17.93
10/16/2014,17.31
10/17/2014,16.9
10/20/2014,17.18
10/21/2014,17.39
10/22/2014,17.15
10/23/2014,17.25
10/24/2014,17.35
10/27/2014,17.32
10/28/2014,17.59
10/29/2014,17.63
10/30/2014,17.94
10/31/2014,18.13
11/3/2014,17.72
11/4/2014,17.44
11/5/2014,17.22
11/6/2014,17.69
11/7/2014,17.31
11/10/2014,17.15
11/11/2014,16.36
11/12/2014,16.57
11/13/2014,16.2
11/14/2014,16.48
11/17/2014,16.43
11/18/2014,16.6
11/19/2014,16.84
11/20/2014,16.73
11/21/2014,16.69
11/24/2014,16.84
11/25/2014,17.19
11/26/2014,17.04
11/27/2014,16.81
11/28/2014,17.25
12/1/2014,16.74
12/2/2014,16.8
12/3/2014,17.22
12/4/2014,17.21
12/5/2014,16.94
12/8/2014,17.19
12/9/2014,17.21
12/10/2014,17.63
12/11/2014,17.71
12/12/2014,18.22
12/15/2014,18.24
12/16/2014,17.83
12/17/2014,17.84
12/18/2014,17.07
12/19/2014,16.93
12/22/2014,16.29
12/23/2014,16.35
12/24/2014,16.38
12/25/2014,16.65
12/26/2014,16.66
12/29/2014,16.52
12/30/2014,16.34
12/31/2014,16.37
1/5/2015,16.59
1/6/2015,16.82
1/7/2015,16.61
1/8/2015,16.62
1/9/2015,16.55
1/12/2015,16.08
1/13/2015,16.75
1/14/2015,16.74
1/15/2015,16.6
1/16/2015,16.99
1/19/2015,16.29
1/20/2015,16.98
1/21/2015,17.29
1/22/2015,17.78
1/23/2015,17.31
1/26/2015,17.8
1/27/2015,17.99
1/28/2015,17.86
1/29/2015,17.65
1/30/2015,17.19
2/2/2015,16.92
2/3/2015,17.95
2/4/2015,17.86
2/5/2015,18.1
2/6/2015,18.21
2/9/2015,17.68
2/10/2015,18.64
2/11/2015,18.8
2/12/2015,19.21
2/13/2015,18.97
2/16/2015,19.97
2/17/2015,19.58
2/25/2015,19.16
2/26/2015,19.13
2/27/2015,19.8
3/2/2015,19.85
3/3/2015,19.01
3/4/2015,19.18
3/5/2015,20.4
3/6/2015,19.83
3/9/2015,20.81
3/10/2015,21.06
3/11/2015,20.6
3/12/2015,21.39
3/13/2015,21.42
3/16/2015,21.55
3/17/2015,21.33
3/18/2015,21.57
3/19/2015,20.85
3/20/2015,22.33
3/23/2015,23.92
